"sites" "long" "lat" "j.site" "a.exp" "b.exp" "r2.exp" "aic.exp" "a.pow" "b.pow" "r2.pow" "aic.pow" "mean.sing.value"
"642" "Loc_30099" 18.10055866 63.45 1 -0.00536245369230492 5.04551497017634e-05 0.627351066390394 -19525.4253742518 -4.52014970661182 0.237137814682068 0.611531920519522 -19137.9951877875 0.319591062859339
"647" "Loc_30104" 28.15642458 63.45 2 0.00503935996148486 4.90556175622915e-05 0.608137041519345 -19056.9088911593 -3.74975162883979 0.220248673627845 0.583950152231276 -18498.7669887247 0.319591062859339
"648" "Loc_30105" 30.16759777 63.45 3 0.00710785633230948 4.87526280380502e-05 0.603190278515648 -18940.0049076775 -3.60641380342264 0.216773320252201 0.576312487672754 -18329.244082753 0.319591062859339
"649" "Loc_30106" 32.17877095 63.45 4 0.00915728570604635 4.84440073531202e-05 0.597900646381833 -18816.5996197985 -3.54963737014369 0.215361869681746 0.571680595197951 -18227.9185410104 0.319591062859339
"650" "Loc_30107" 34.18994413 63.45 5 0.0111904916422121 4.81295801572752e-05 0.592281304037176 -18687.26811911 -3.56900038484023 0.215832867558611 0.569717774794968 -18185.310759798 0.319591062859339
"759" "Loc_31102" 17.51351352 62.55 6 -8.18326813001313e-06 4.98827557955358e-05 0.618820926161221 -19314.5131524228 -4.1462488745892 0.229345377316753 0.600719221344372 -18882.1525511146 0.319591062859339
"760" "Loc_31103" 19.45945946 62.55 7 0.0020009990089318 4.96296449577347e-05 0.615953967512217 -19244.6845165427 -4.01920924905627 0.226565807853756 0.597694205468803 -18811.8164010059 0.319591062859339
"764" "Loc_31107" 27.24324325 62.55 8 0.0100691666819585 4.85328773752398e-05 0.600734895650373 -18882.5183882211 -3.47838064105159 0.213750447675917 0.576463426510355 -18332.5645715493 0.319591062859339
"765" "Loc_31108" 29.18918919 62.55 9 0.0120841472095645 4.82391373870644e-05 0.596033765888162 -18773.4331810066 -3.31281175133571 0.209478310023571 0.567627454171292 -18140.1484615728 0.319591062859339
"766" "Loc_31109" 31.13513514 62.55 10 0.0140820108646174 4.79397192794506e-05 0.590992283107353 -18657.8521584405 -3.23416988959935 0.207389253067806 0.562093667244447 -18021.6345996855 0.319591062859339
"767" "Loc_31110" 33.08108108 62.55 11 0.0160649575478216 4.76345015417032e-05 0.585621988296194 -18536.2894806787 -3.20637668190439 0.206632921968496 0.558336557451437 -17942.0213157999 0.319591062859339
"768" "Loc_31111" 35.02702703 62.55 12 0.0180375663339192 4.73231025769595e-05 0.579936145447547 -18409.289166523 -3.2375745096818 0.207456229777484 0.556772832347165 -17909.0853364879 0.319591062859339
"773" "Loc_31116" 44.75675676 62.55 13 0.109425817781042 4.70961622185647e-05 0.539457742265891 -18706.455185748 -3.08356075200105 0.214226679698342 0.534851572523604 -18613.7130834652 0.383297604102165
"774" "Loc_31117" 46.70270271 62.55 14 0.110004622556379 4.6927779572617e-05 0.536755797599301 -18651.9415178463 -3.06757621488611 0.213717654029841 0.53310308636098 -18578.7487722988 0.383297604102165
"775" "Loc_31118" 48.64864865 62.55 15 0.110593230030104 4.67521209815837e-05 0.533834231296368 -18593.3534525125 -3.09126128914856 0.214306948911674 0.532544725330686 -18567.6108585104 0.383297604102165
"776" "Loc_31119" 50.5945946 62.55 16 0.111197218837505 4.65686168506016e-05 0.530695945449908 -18530.8270197149 -3.14307904089095 0.215657466658019 0.532621507454129 -18569.1416817114 0.383297604102165
