"sites" "long" "lat" "j.site" "a.exp" "b.exp" "r2.exp" "aic.exp" "a.pow" "b.pow" "r2.pow" "aic.pow" "mean.sing.value"
"335" "Loc_33101" 4.59183673 60.75 1 0.129382840334656 3.74227724852779e-05 0.47570350187384 -27481.6999425898 -3.57094166193742 0.220318964981378 0.50352638184475 -28193.8772721861 0.347480910301445
"336" "Loc_33102" 6.42857143 60.75 2 0.129515839977676 3.75334869581268e-05 0.480820073791757 -27609.7873240631 -3.3715134039466 0.215406063020082 0.504313583863519 -28214.6030570782 0.347480910301445
"338" "Loc_33104" 10.10204081 60.75 3 0.130029563507585 3.77040437663126e-05 0.48981952774238 -27838.1715967978 -3.17136073697133 0.210359350687051 0.510240254314474 -28371.7078875197 0.347480910301445
"339" "Loc_33105" 11.93877551 60.75 4 0.130401645818417 3.77642605503731e-05 0.493663670698086 -27936.957156298 -3.13011083670773 0.20935445745148 0.514226014172192 -28478.4357176155 0.347480910301445
"341" "Loc_33107" 15.6122449 60.75 5 0.13136211769818 3.78347663332253e-05 0.499971649956935 -28100.6942146441 -3.14026446483571 0.209858703286612 0.523496293496984 -28730.0945997304 0.347480910301445
"342" "Loc_33108" 17.44897959 60.75 6 0.131947444227623 3.78449090783505e-05 0.502421355139637 -28164.8390409431 -3.19689371267683 0.211508197544923 0.529003639752907 -28881.9304930705 0.347480910301445
"344" "Loc_33110" 21.12244898 60.75 7 0.0631402694967442 4.02174771817842e-05 0.65043672279347 -32897.2490289401 -3.76361007357581 0.219239515655973 0.654563889816515 -33052.3730855056 0.306846260932457
"409" "Loc_34104" 5.37313433 59.85 8 0.133073780207975 3.70053485558423e-05 0.473840495255698 -27435.371957629 -3.21587705138046 0.21135469813442 0.497075956240796 -28025.2753593753 0.347480910301445
"410" "Loc_34105" 7.16417911 59.85 9 0.133209829770513 3.71136486645169e-05 0.478843463933648 -27560.1562030596 -3.03723898921681 0.206583559771735 0.497723035796577 -28042.0909160222 0.347480910301445
"411" "Loc_34106" 8.95522388 59.85 10 0.133424116999073 3.72056605968773e-05 0.483442996599737 -27675.9393884532 -2.93753172361512 0.203880179055559 0.500539213062732 -28115.5276775549 0.347480910301445
"412" "Loc_34107" 10.74626866 59.85 11 0.133712658412622 3.72815329095823e-05 0.487619457911898 -27781.9692656079 -2.87049030178133 0.202056026287022 0.503854361248081 -28202.5084550147 0.347480910301445
"413" "Loc_34108" 12.53731343 59.85 12 0.134072123254847 3.73413412609313e-05 0.491354130725965 -27877.5177815392 -2.85132155815272 0.20161082360189 0.5084140186968 -28323.0960878627 0.347480910301445
"414" "Loc_34109" 14.32835821 59.85 13 0.138699592595337 4.15349853260195e-05 0.487641149394549 -26029.9488747941 -3.54237806659145 0.224549739084492 0.530520954488715 -27171.5010871462 0.369941233348889
"415" "Loc_34110" 16.11940299 59.85 14 0.134996965588379 3.74124518900419e-05 0.497453542527746 -28035.0850051473 -2.90680446281481 0.203453817221488 0.519170751623943 -28612.0660986114 0.347480910301445
"421" "Loc_34116" 26.86567164 59.85 15 0.0680667325458765 3.98990631063307e-05 0.65836082804335 -33196.730818381 -3.49284414740898 0.213021352226319 0.663963063512625 -33412.6819592419 0.306846260932457
"491" "Loc_35107" 6.11650486 58.95 16 0.136739706259975 3.65837974807225e-05 0.471670926314702 -27381.6268901098 -2.97035190441015 0.204747442146507 0.493216149598418 -27925.4183999292 0.347480910301445
"492" "Loc_35108" 7.86407767 58.95 17 0.136874090446311 3.66902899399484e-05 0.476557705235651 -27502.9967632406 -2.8149872303699 0.200353507647554 0.494132222347929 -27949.0490920917 0.347480910301445
"493" "Loc_35109" 9.61165048 58.95 18 0.137081556426067 3.67811570862505e-05 0.481043315305288 -27615.4046145479 -2.72897045317569 0.197894491590254 0.497081396834155 -28025.4166530261 0.347480910301445
"494" "Loc_35110" 11.3592233 58.95 19 0.137358651939863 3.68564856639201e-05 0.485107826142961 -27718.1021203191 -2.6838837429384 0.196635054825192 0.501025678550963 -28128.2550469977 0.347480910301445
"495" "Loc_35111" 13.10679612 58.95 20 0.137703146377189 3.69162267936328e-05 0.48873444115894 -27810.4220715837 -2.67188186348948 0.196378672954616 0.505649676075828 -28249.8557103847 0.347480910301445
"496" "Loc_35112" 14.85436893 58.95 21 0.138113732634382 3.69602467621557e-05 0.491910917618412 -27891.8227767936 -2.69232923218954 0.197117577576079 0.510928246171365 -28390.0682756499 0.347480910301445
"497" "Loc_35113" 16.60194175 58.95 22 0.143275417148586 4.10843698609413e-05 0.487676152328202 -26030.8411965195 -3.44853715329587 0.222514951942444 0.537474470258348 -27366.3961704133 0.369941233348889
"501" "Loc_35118" 25.33980583 58.95 23 0.0711114559498686 3.95212524304209e-05 0.654085799426725 -33034.3089016056 -3.26173104615359 0.207114087385189 0.65479438899232 -33061.0912088237 0.306846260932457
"502" "Loc_35119" 27.08737864 58.95 24 0.0716050871942278 3.9523333590886e-05 0.656490584306412 -33125.4256604646 -3.22313199599205 0.206147791397495 0.656810613582574 -33137.5995645568 0.306846260932457
"507" "Loc_35124" 35.82524272 58.95 25 0.075270748859717 3.92513471820031e-05 0.659204285817469 -33229.0164116911 -3.04702723191871 0.201572279620683 0.657781138842162 -33174.5878527257 0.306846260932457
"508" "Loc_35125" 37.57281554 58.95 26 0.0762359895788 3.91406596538758e-05 0.657881884226709 -33178.4334303327 -2.96691858773842 0.199324927005136 0.653437911025024 -33009.8688651409 0.306846260932457
"509" "Loc_35126" 39.32038835 58.95 27 0.0772718462291051 3.90119163315632e-05 0.655939974474276 -33104.5069979305 -2.91592513044429 0.197879525098671 0.650062722215758 -32883.282429554 0.306846260932457
"510" "Loc_35127" 41.06796117 58.95 28 0.0783769117312434 3.88653075203331e-05 0.653387087683663 -33007.9536095085 -2.87594808100522 0.196733833496902 0.64666215085077 -32756.9728046326 0.306846260932457
"511" "Loc_35128" 42.81553398 58.95 29 0.0795496660095822 3.87010684334112e-05 0.650233994548903 -32889.6765341452 -2.84169126079087 0.195739752646117 0.642948322004841 -32620.4089657407 0.306846260932457
"512" "Loc_35129" 44.5631068 58.95 30 0.0807884578056456 3.85194812556964e-05 0.646493614122165 -32750.744393492 -2.8111225375813 0.194840652000749 0.638819859624365 -32470.255659654 0.306846260932457
"513" "Loc_35130" 46.31067961 58.95 31 0.0820915144684423 3.83208738346331e-05 0.6421809740599 -32592.3693907435 -2.78345458580591 0.194015295717833 0.634248546938973 -32305.9851765139 0.306846260932457
"514" "Loc_35131" 48.05825243 58.95 32 0.0834569437546111 3.81056190819239e-05 0.63731313210049 -32415.88269781 -2.75856408799804 0.193261806146445 0.629246202608184 -32128.5618004717 0.306846260932457
"515" "Loc_35132" 49.80582524 58.95 33 0.084882730755208 3.78741346277284e-05 0.631909051344209 -32222.7077441648 -2.73687162998403 0.192594717200466 0.623857455244299 -31940.0921384382 0.306846260932457
"516" "Loc_35133" 51.55339806 58.95 34 0.0863667384014274 3.76268817691441e-05 0.625989452111793 -32014.3332135855 -2.71946929888644 0.192049327488888 0.618166498530898 -31743.961976433 0.306846260932457
"517" "Loc_35134" 53.30097088 58.95 35 0.0879067155890157 3.73643634320182e-05 0.619576678325686 -31792.2878916704 -2.70859165494585 0.191696479179678 0.612323533178718 -31545.6112329448 0.306846260932457
"518" "Loc_35135" 55.04854369 58.95 36 0.0895003173956983 3.70871208563324e-05 0.612694622492323 -31558.1193915059 -2.70910221813553 0.191688236166358 0.606628810888763 -31355.1488832705 0.306846260932457
"519" "Loc_35136" 56.79611651 58.95 37 0.091145151219081 3.67957276391554e-05 0.605368772437349 -31313.379020914 -2.73562048906741 0.192474169274752 0.601927109514276 -31199.9650979493 0.306846260932457
"576" "Loc_36110" 5.94339623 58.05 38 0.140335615457663 3.60987596184257e-05 0.466583034858026 -27256.4491987367 -2.89519445010431 0.20270269011242 0.491304414024062 -27876.2412192981 0.347480910301445
"577" "Loc_36111" 7.64150944 58.05 39 0.140426773771553 3.62112746947518e-05 0.471524041046831 -27377.9961948788 -2.72177592739475 0.197666955500911 0.491429881612018 -27879.463056361 0.347480910301445
"578" "Loc_36112" 9.33962264 58.05 40 0.140587951675354 3.63088270787697e-05 0.476083885683937 -27491.1793041292 -2.61721362302376 0.194559742306288 0.493576145874153 -27934.6996391741 0.347480910301445
"579" "Loc_36113" 11.03773585 58.05 41 0.146636502978594 4.02713647575736e-05 0.470028717615585 -25588.5189270301 -3.11540729741235 0.213418981734136 0.508815060727255 -26581.1824285933 0.369941233348889
"580" "Loc_36114" 12.73584906 58.05 42 0.146779522891408 4.03761025265084e-05 0.474438341797021 -25697.6475658016 -3.10315216378126 0.21321038852495 0.515025263171268 -26747.3694785592 0.369941233348889
"581" "Loc_36115" 14.43396227 58.05 43 0.14698714366867 4.04650142990479e-05 0.478446355016573 -25797.6344844497 -3.13470920929491 0.214206291702133 0.522195430750468 -26941.9131077942 0.369941233348889
"582" "Loc_36116" 16.13207548 58.05 44 0.1418815504796 3.65491683820058e-05 0.490130493121723 -27846.1349692374 -2.60993306790141 0.194782185534533 0.51318052064943 -28450.3557507036 0.347480910301445
"588" "Loc_36122" 26.32075472 58.05 45 0.0748200736693337 3.91461349338626e-05 0.652972726126806 -32992.3490437823 -3.03318288255822 0.20103969438414 0.650259856321449 -32890.6423029573 0.306846260932457
"589" "Loc_36123" 28.01886793 58.05 46 0.075320273560006 3.91424264844703e-05 0.655057961561639 -33071.0673972466 -3.03871403770435 0.201268252604063 0.654167449139138 -33037.3921886512 0.306846260932457
"593" "Loc_36127" 34.81132076 58.05 47 0.0781017843819497 3.89434712376112e-05 0.657387679371776 -33159.5798482865 -2.87228001150593 0.196682994304296 0.652759175768565 -32984.3141612216 0.306846260932457
"594" "Loc_36128" 36.50943397 58.05 48 0.0789868394559256 3.88478680934821e-05 0.65646180554278 -33124.331473027 -2.78719594231711 0.194181656245018 0.64812981489308 -32811.3374369151 0.306846260932457
"595" "Loc_36129" 38.20754717 58.05 49 0.0799418581693631 3.87345171899082e-05 0.654930789408977 -33066.2529960116 -2.73417942890161 0.192605416097053 0.644774392875545 -32687.3782890465 0.306846260932457
"596" "Loc_36130" 39.90566037 58.05 50 0.0809655289024679 3.86035770933102e-05 0.652801111586064 -32985.8916162636 -2.6940668643793 0.191400637067594 0.641574259823289 -32570.2420484868 0.306846260932457
"597" "Loc_36131" 41.60377359 58.05 51 0.0820565161400783 3.84552390401947e-05 0.650081568475384 -32883.9858631154 -2.66016524865717 0.190370434489468 0.638132717694259 -32445.4308330398 0.306846260932457
"598" "Loc_36132" 43.3018868 58.05 52 0.0832133430301722 3.82897404926143e-05 0.646782960105486 -32761.4392366556 -2.62997084510562 0.189441002280431 0.634308206703064 -32308.11580301 0.306846260932457
"599" "Loc_36133" 45 58.05 53 0.0844344225758259 3.8107361540118e-05 0.642918122234855 -32619.3043006739 -2.60242540907248 0.18858150469762 0.630049715461405 -32156.8988536853 0.306846260932457
"600" "Loc_36134" 46.69811321 58.05 54 0.0857180682215858 3.79084236591002e-05 0.638501918778368 -32458.763336976 -2.57709309355088 0.187779856516947 0.625346790261867 -31991.909773428 0.306846260932457
"601" "Loc_36135" 48.39622641 58.05 55 0.087062482759981 3.769329065042e-05 0.63355114524198 -32281.1046452668 -2.55395307020958 0.187036854514373 0.620216736363512 -31814.2813870411 0.306846260932457
"602" "Loc_36136" 50.09433963 58.05 56 0.0884657477389552 3.74623690149874e-05 0.628084367664731 -32087.6964087688 -2.53340165442434 0.186366696935578 0.614704060231487 -31626.0595435705 0.306846260932457
"603" "Loc_36137" 51.79245283 58.05 57 0.089925822793769 3.72161068012954e-05 0.622121738749168 -31879.9605531947 -2.51639075511554 0.18580182602675 0.608887939082007 -31430.3743387471 0.306846260932457
"604" "Loc_36138" 53.49056604 58.05 58 0.0914405548403147 3.69549912587512e-05 0.615684841603093 -31659.3490646281 -2.50480225404065 0.185405399126786 0.602904422425823 -31232.0707230536 0.306846260932457
"605" "Loc_36139" 55.18867925 58.05 59 0.0930077003814538 3.66795453370689e-05 0.608796629213647 -31427.3254453015 -2.50241465968 0.185302820118678 0.597005228243287 -31039.4655465198 0.306846260932457
"606" "Loc_36140" 56.88679246 58.05 60 0.0946250000463326 3.63903189748613e-05 0.601481612253103 -31185.3562502408 -2.51735092934823 0.185759815453129 0.591702223921613 -30868.7169649256 0.306846260932457
"607" "Loc_36141" 58.58490566 58.05 61 0.0962904754421512 3.60878571354527e-05 0.593766897839394 -30934.9311859367 -2.56357771512044 0.187220151752918 0.587812773477574 -30744.8865655529 0.306846260932457
"667" "Loc_37114" 8.29493088 57.15 62 0.168357980819529 3.67262336836823e-05 0.450881240493291 -26885.2543305765 -2.76059416928873 0.203128751805238 0.502757935513786 -28181.3989620222 0.370323998558263
"668" "Loc_37115" 9.95391705 57.15 63 0.168218400009637 3.68737059625065e-05 0.456370180336506 -27016.4677635953 -2.65663001234096 0.200073761550001 0.506062272459497 -28268.4832732229 0.370323998558263
"669" "Loc_37116" 11.61290323 57.15 64 0.144383408697852 3.59629916532082e-05 0.477163776264764 -27518.1282878904 -2.45309941862309 0.189584612182111 0.496262961999035 -28004.1788447833 0.347480910301445
"670" "Loc_37117" 13.2718894 57.15 65 0.150941206509417 3.98583728365852e-05 0.47052372183022 -25600.7238737562 -2.97750680302878 0.20987371784669 0.514137665618141 -26723.4871707751 0.369941233348889
"671" "Loc_37118" 14.93087558 57.15 66 0.151126355459144 3.99482297672047e-05 0.474433287617709 -25697.5219624256 -3.01977451781648 0.211199710085354 0.521587240604132 -26925.2985321439 0.369941233348889
"672" "Loc_37119" 16.58986175 57.15 67 0.145393617578349 3.61222288993654e-05 0.48675383539694 -27759.9224560258 -2.52298830519057 0.192186721781529 0.512789457986756 -28439.8680458083 0.347480910301445
"676" "Loc_37124" 24.88479263 57.15 68 0.0778773333532555 3.87510329400893e-05 0.647753869522711 -32797.39024427 -2.92537148429534 0.198057415048625 0.645451473412219 -32712.2970657445 0.306846260932457
"677" "Loc_37125" 26.5437788 57.15 69 0.0782790487100233 3.8766919070508e-05 0.650380490228897 -32895.1481376106 -2.88598958944471 0.196975987786263 0.647208907706949 -32777.1991182889 0.306846260932457
"678" "Loc_37126" 28.20276498 57.15 70 0.0787548998065609 3.87652688557228e-05 0.652420958699303 -32971.5987691908 -2.89326311932951 0.197260497730022 0.651091181358446 -32921.7249840126 0.306846260932457
"681" "Loc_37129" 33.1797235 57.15 71 0.0806427331074442 3.86518312966516e-05 0.655018346968067 -33069.5675032333 -2.77091290127081 0.193779806843004 0.650405270497623 -32896.0739056278 0.306846260932457
"682" "Loc_37130" 34.83870967 57.15 72 0.0814228348406091 3.85778029873337e-05 0.654702711940323 -33057.6230293713 -2.69139747217761 0.19138502799541 0.64644255321904 -32748.8579826022 0.306846260932457
"683" "Loc_37131" 36.49769585 57.15 73 0.082274051622935 3.84860548147369e-05 0.653791976961773 -33023.21948614 -2.63654730892079 0.189712495518307 0.643366733228112 -32635.7234813496 0.306846260932457
"684" "Loc_37132" 38.15668203 57.15 74 0.0831949441929832 3.83767302082995e-05 0.652289481308906 -32966.6591690148 -2.59439578176711 0.188413828355587 0.640474565029402 -32530.2306231063 0.306846260932457
"685" "Loc_37133" 39.8156682 57.15 75 0.0841842188696965 3.82499847033297e-05 0.650201247955246 -32888.4537645431 -2.55839811318769 0.187291750360149 0.63736337884322 -32417.6922978512 0.306846260932457
"686" "Loc_37134" 41.47465438 57.15 76 0.0852404298351367 3.81060198820047e-05 0.647535192084255 -32789.2843785605 -2.52621242050548 0.186275786559981 0.633893697504765 -32293.3196310901 0.306846260932457
"687" "Loc_37135" 43.13364055 57.15 77 0.0863620450412849 3.79450755921151e-05 0.644301201839082 -32669.9914923802 -2.49691394257195 0.185338788499772 0.630016982442244 -32155.7432739531 0.306846260932457
"688" "Loc_37136" 44.79262673 57.15 78 0.0875475079132942 3.7767423177504e-05 0.640511299183849 -32531.5651859968 -2.46991148352933 0.184463465719172 0.625707484414131 -32004.4901955538 0.306846260932457
"689" "Loc_37137" 46.45161291 57.15 79 0.0887952163371923 3.75733683406184e-05 0.636179630651801 -32375.126945699 -2.44481417482416 0.183638507509696 0.620955191461872 -31839.7020730648 0.306846260932457
"690" "Loc_37138" 48.11059908 57.15 80 0.090103477813786 3.73632562589091e-05 0.63132233444764 -32201.9057966926 -2.42149030046839 0.182860849082766 0.615770135825631 -31662.2481214495 0.306846260932457
"691" "Loc_37139" 49.76958526 57.15 81 0.0914704828019013 3.71374737858736e-05 0.625957335756689 -32013.2117112445 -2.40012465835565 0.182137912482988 0.610185189840285 -31473.7674101508 0.306846260932457
"692" "Loc_37140" 51.42857143 57.15 82 0.0928943041912699 3.68964479418657e-05 0.620104110211401 -31810.4086726804 -2.38129196488282 0.181490400466474 0.604258866975372 -31276.6963495788 0.306846260932457
"693" "Loc_37141" 53.08755761 57.15 83 0.102773958044855 3.71122338518438e-05 0.612814684317489 -31568.6417776752 -2.4203294294118 0.184249843466187 0.605804614978005 -31334.2848961554 0.31554215675969
"694" "Loc_37142" 54.74654378 57.15 84 0.10426949535312 3.68449546107794e-05 0.606268019735741 -31349.648064146 -2.41144771108885 0.183928621294638 0.599636778402753 -31131.5063195122 0.31554215675969
"695" "Loc_37143" 56.40552996 57.15 85 0.0974860079271899 3.60867087260875e-05 0.599829698115387 -31131.3284879893 -2.35648785974274 0.180578238452569 0.585687035085532 -30677.70126869 0.306846260932457
"696" "Loc_37144" 58.06451613 57.15 86 0.0991162445480958 3.5789650244671e-05 0.592245250838572 -30886.0993646852 -2.37241522125006 0.181086556351163 0.58015898840086 -30504.5848493808 0.306846260932457
"697" "Loc_37145" 59.72350231 57.15 87 0.100793050890282 3.54799235846568e-05 0.584292177642199 -30633.8029700043 -2.41887097731371 0.182616160403243 0.576119536064368 -30379.5206152393 0.306846260932457
"766" "Loc_38117" 8.91891892 56.25 88 0.1717672050386 3.63065584621911e-05 0.448452448962623 -26827.6119781808 -2.63179735084059 0.199358888001402 0.502551906178987 -28175.9883340838 0.370323998558263
"767" "Loc_38118" 10.54054054 56.25 89 0.171624658841479 3.64524791774644e-05 0.45380859812085 -26955.068909783 -2.55438207911532 0.197037790066442 0.506657032842798 -28284.2197630535 0.370323998558263
"768" "Loc_38119" 12.16216216 56.25 90 0.154942567916185 3.92335366536017e-05 0.46210572433481 -25394.7040532954 -2.86990580431395 0.206823076831478 0.506841918029766 -26528.8200899914 0.369941233348889
"769" "Loc_38120" 13.78378378 56.25 91 0.148161923348162 3.56018278261081e-05 0.47730762187321 -27521.7221972305 -2.36044309958025 0.186775110421857 0.500426905063309 -28112.5911309307 0.347480910301445
"770" "Loc_38121" 15.40540541 56.25 92 0.148479384731383 3.56556349711806e-05 0.480408054847148 -27599.426281632 -2.391337913445 0.187922379533242 0.50614160487845 -28262.8592034685 0.347480910301445
"775" "Loc_38127" 25.13513514 56.25 93 0.0813100549063874 3.83692254170355e-05 0.644845198831576 -32689.9819548684 -2.79022922148298 0.194231966978738 0.64234712626828 -32598.4356360668 0.306846260932457
"779" "Loc_38131" 31.62162162 56.25 94 0.0832676119397452 3.833516383976e-05 0.651681911927521 -32943.8570438473 -2.67465845581061 0.190940633462823 0.647043817200426 -32771.088582064 0.306846260932457
